Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
795584812918386367255521286735341258439959854242,syn_count >,-0.7142786813812982,10.027894149252264,0.04767267267267268,126,63,63,62215.95198897556,87319.92009120411,-25103.96810222855,2922.24604598076,47361.77419354839,-44439.52814756762,0.0469694017781576,0.7612480831594559
940331364486966071141541838460909450599289486914,rst_count >,-0.6026425627805632,13.360967557082946,0.11306306306306306,91,45,46,125930.3521667552,144878.7471137106,-18948.394946955377,347.47758030327736,76238.46774193548,-75890.9901616322,0.0027592837971512,0.6054018465777145
579184915384053252333364217236378176158944003116,cwr_flag_number >,-0.5320754716981131,4.54072451661089,0.12551051051051054,15,8,7,358.34440073005374,524.9309657432294,-166.5865650131757,109.091798467308,299.758064516129,-190.666266048821,0.3044328256421914,0.8365082973403045
559797210707093786647851972932919518973015855277,fin_count >,-0.4330118705206033,11.033998579576277,0.0726126126126126,120,60,60,123714.22135933054,136019.7794848598,-12305.558125529278,2684.8703733898583,56254.59677419355,-53569.726400803695,0.0217021967554691,0.4547140672760725
791432257472445298809701838101022411569407290467,rst_flag_number >,-0.4240033468084816,7.603560226875531,0.1487987987987988,88,44,44,60907.74647202074,62691.22468086449,-1783.4782088437496,653.5406815587804,26478.629032258064,-25825.088350699283,0.0107300092256573,0.4347333560341389
1251276136943778783713685275011300537715092657394,fin_flag_number >,-0.3579519419303831,9.259789539962206,0.08924924924924925,130,64,66,110967.58762748326,115882.9910110823,-4915.403383599041,1745.4687754769282,41466.53225806452,-39721.06348258759,0.0157295370008082,0.3736814789311913
335418722972519651500040442315750311827115323662,Rate >,-0.3168100022040529,10.584154401412281,0.007561561561561562,142,71,71,150646.42202679318,158877.6719281728,-8231.249901379633,7229.35186694929,54955.645161290326,-47726.29329434104,0.0479888720202297,0.3647988742242826
835140271881840015202809914014108690929910415575,IAT >,-0.204369923332337,7.355773911657038,0.0025225225225225228,139,69,70,181895.92736018263,192165.05637140168,-10269.129011219047,16082.95939996739,53257.01612903226,-37174.05672906487,0.0884184689199807,0.2927883922523178
565103970815292376991711972572924808853013487374,IGMP >,-0.1559567579432585,4.559644046357983,0.18536036036036035,29,15,14,296.89065762690467,517.9416614507451,-221.0510038238404,153.53660525028533,199.83870967741936,-46.302104427134026,0.5171486582889755,0.6731054162322341
207766774224049171901964708681563529125144087827,HTTP >,-0.1288289403180981,5.471583906885409,0.005375375375375376,129,65,64,49500.37097037181,61141.81485143828,-11641.443881066463,3215.177727050383,9592.258064516129,-6377.080337465746,0.0649525986173883,0.1937815389354864
1244200006508864238414081275966745179431479901918,ARP >,-0.1146394515908437,5.304188087732564,0.028618618618618617,122,61,61,33211.056026887854,37356.56066073016,-4145.504633842305,3386.896298711886,7194.193548387097,-3807.29724967521,0.1019809877761741,0.2166204393670179
337274849629170698169636561573185333120886675912,ece_flag_number >,-0.1084710900043859,4.598016109001201,0.36877177177177173,55,28,27,1077.216341526275,1368.9749925048525,-291.7586509785772,282.8305886189467,399.6774193548387,-116.846830735892,0.2625569049743644,0.3710279949787504
